title,company,description,posted_date,views,applications
Python Developer (Scraping),Dataforest,"Looking for a <b>Python Developer (Scraping)</b> to join the Dataforest team. If you are looking for a friendly team, a healthy working environment, and a flexible schedule ‒ you have found the right place to send your <b>CV</b>. <br><br><b>Skills Requirements:</b><br>• 9+ months commercial experience with Python;<br>• Experience with Web scrapping/Data gathering/Cleaning and Visualization;<br>• Experience with Web automation;<br>• Experience with libraries/ frameworks: Beautifulsoup, selenium, lxml.<br>• Experience with SQL;<br><br><b>Key responsibilities:</b><br>• Develop scraping and parsing solutions;<br>• Develop API, ETL pipelines, other data integration services ;<br>• Collaborate with Project Managers to solve customer problems;<br>• Optimize applications regarding project requirements;<br>• Collaborate with team members, take part in meetings, brainstorms.<br><br><b>Optional skills (as a plus):</b><br>• Experience with NoSQL and in-memory DB;<br>• Experience with Pandas.<br>• Experience with Flask, Flask-RESTful<br>• Experience with linux, AWS, GCP;<br>• Experience with 2captcha, anticaptcha;<br>• Experience with pyautogui;<br>• Experience with virtualdisplay.<br><br><b>We offer:</b><br>• Great networking opportunities with international clients, challenging tasks;<br>• Building interesting projects from scratch using new technologies;<br>• Personal and professional development opportunities;<br>• Competitive salary nominated in USD;<br>• Paid vacation and sick leaves, medical insurance;<br>• Flexible work schedule;<br>• Friendly working environment with minimal hierarchy;<br>• Team building activities, corporate events.",15:56 15.02.2024,614,86
Middle Python Developer,COMPARUS UA,"Наша співпраця передбачає роботу тільки в офісі в місті Дніпро!<br><br>Ми — продуктова команда, що створює додаток, здатний вилучати та структурувати дані зі сканованих чи фотодокументів.<br><br>Ми пропонуємо:<br>- повне технічне оснащення (MacBook, додатковий монітор, комфортне робоче місце)<br>- роботу тільки з передовими технологіями<br>- 8-годинний робочий день, без овертаймів<br>- компенсацію лікарняних, відпусток<br>- часткову компенсацію за спортзал<br>- часткову компенсацію сертифікацій і конференцій<br>- часткову компенсацію за заняття англійською/німецькою<br><br>Задачі:<br>- впровадження мікросервісів з нуля<br>- впровадження алгоритмів обробки документів<br>- конфігурація взаємодії мікросервісів<br><br>Навички, необхідні для роботі з продуктом:<br>- глибоке знання Python 3<br>- досвід створення RESTful Web Services<br>- досвід роботи з design service API (OpenAPI Swagger contracts)<br>- досвід роботи з Docker<br>- досвід роботи з Kubernetes (OpenShift)<br>- досвід роботи з Tesseract OCR<br>- рівень розмовної/письмової англійської мови Intermediate/B1+<br><br>Ці навички стануть у нагоді:<br>- коммерційний досвід і розуміння архітектури програми<br>- розуміння, що таке штучний інтелект<br>- знати, що таке нейронні мережі, машинне навчання, аналіз даних<br>- досвід роботи з будь-якими інструментами та фреймворками з відкритим кодом для глибокого навчання<br>- навички налаштування MinIO<br>- досвід роботи з реляційними та іншими БД (OracleDB, Postgresql, Mongo, etc)<br>- налаштування та використання Redis<br>- досвід роботи з Kafka<br>- досвід обробки PDF<br>- організаторські здібності<br><br>Етапи спілкування за вакансією:<br>1. Діалог з Recruiter у форматі переписки (обговорюються виключно найважливіші питання)<br>2. Online call: 15 хв перевірка рівня English, 30 хв детальне обговорення вакансії з Recruiter<br>3. Технічна співбесіда з Team Lead та потенційним Tech onboarding guide (60-90 хв)<br>* етапи можуть змінюватись в ході спілкування, але завжди лише з метою можливої подальшої співпраці",15:53 15.02.2024,211,24
Python Developer,Silicon Valley Commerce LLC,"Python Developer (Remote)<br><br><br>Silicon Valley Commerce LLC, a fast-growing e-commerce company based in the United States, is looking to hire a Python Developer to join our dynamic and growing team. This is a permanent and full-time work-from-home position. The ideal candidate will provide technical expertise in the creation of intuitive web applications that support the company’s business growth initiatives. You will be responsible for planning, building, and maintaining systems that support our core team as we explore new business opportunities, automations and innovations.<br><br><br>The ideal candidate will enjoy working both collaboratively and independently, favors iterative development approaches that would result in high-quality systems, possesses a range of technical skills, and exhibits a willingness to learn (and advocate for) new technologies when appropriate. <br><br><br>This position will collaborate with our stakeholders and/or relevant teams across all departments to implement agreed-upon projects, while working closely within the Engineering Team/Data Team. This position will report directly to the Engineering Tech Lead and Head of DTC Analytics.<br><br><br>Job Type: Full-Time<br>Job Level: Entry, Mid-Senior<br>Hourly Rate: $37 - $52 an hour (entry level), $29 - $65 an hour (mid-senior level) – depending on experience<br><br><br>Key Duties and Responsibilities:<br><br><br>- Collaborate with project managers, designers, and other developers to understand project requirements and objectives.<br>- Work with Technical Leads to help translate business requirements into technical requirements, participate in code reviews, develop POCs, and maintain existing applications.<br>- Plan and assist in managing the integration and implementation of new technology.<br>- Guide and provide direction for projects.<br>- Responsible for solving highly technical and complex problems for several projects.<br>- Develop enterprise-level application or system solutions including major enhancements and interfaces, functions and features.<br>- Develop programming and development standards and procedures as well as programming architectures for code reuse.<br>- Troubleshoot cloud issues/failures and resolves alerts and performs remediation activities.<br>- Develop sound and trusted relationships with internal and external customers by providing accurate and efficient technical/engineering support and updates.<br>- Write high quality, maintainable code as a core member of the Engineering Team.<br>- Maintain the quality of your own code and provide feedback and support to the Engineering Team.<br>- Develop support documentation including risk logs and requirement specifications.<br>- Stay updated on industry trends and best practices to continually improve our technology.<br>- Employ a flexible attitude and can work constructively in a diverse team setting.<br>- Other ad hoc tasks that may be assigned from time to time.<br><br><br><br><br>Experience and Qualities we look for:<br><br><br>- Able to demonstrate with 4 to 5 years experience as Full-Stack Python Developer or similar role.<br>- With 3+ years experience designing, building, and deploying web applications.<br>- Proficiency in HTML, CSS, JavaScript and related frameworks/libraries (e.g., Angular, etc.).<br>- Solid understanding of responsive design principles and cross-browser compatibility.<br>- Familiarity with version control systems (e.g., Git) and modern development tools.<br>- Knowledge of SEO principles and best practices.<br>- Proven hands-on programming experience in Python language.<br>- Familiarity with Django framework.<br>- Understanding of UX/UI design principles.<br>- Experience with MySQL.<br>- Strong communication skills and ability to project-manage.<br>- Proven ability to build strong relationships at all levels throughout an organization in a collaborative and multicultural environment.<br>- A self-directed individual able to adapt quickly to changes in priorities and business conditions.<br>- Experience and comfort working in a fast-paced business environment with ability to consistently meet company goals.<br>- Superior analytical and critical thinking skills with the ability to develop and communicate complex business strategies.<br>- You are hungry to learn, work, make changes and improve.<br>- Excellent organizational and time management skills.<br>- Possess rigorous attention to detail and impeccable work ethics.<br>- You are amazing at multitasking and you prioritize effectively.<br>- Excellent written and verbal communication skills in the English language.<br>- Basic Advanced experience with Microsoft Excel and Google Sheets.<br>- Able to work in the Eastern Standard Time Zone (UTC-05:00)<br>- Has a conducive work-from-home setup and a stable internet connection for team and client meetings.<br><br><br><br><br>Desired Education:<br><br><br>BS/MS in Computer Science, Computer Engineering, Information Systems, Web Development,  or equivalent experience.<br><br><br>Bonus Points:<br><br><br>Remote experience<br> - E-commerce experience (Amazon, Etsy, eBay, Shopify, Walmart, etc.)<br>- Familiarity with Slack, Asana, Hubstaff, and Google Suites<br><br><br><br><br><b>Important</b> Please apply with your resume showing relevant work experience. Candidates should send a link to a portfolio of your work on Behance or Dribble and Github as proof of your experience and abilities.",14:11 15.02.2024,687,175
Str.Middle/Senior Python Developer,Argument,"Looking for an experienced Python engineer who is proficient with Python, Postgres, SQL. The project is a high performance web application to view and analyze domain specific data. A commitment to collaborative problem solving, sophisticated design, and quality products are important. A stable long term project, growing customer base, small team fun to work with.<br><br>Responsibilities:<br><br>-Developing new application features<br><br>-Design multi-user resource efficient solutions<br><br>-Building reusable components for future use<br><br>-Optimizing services for maximum performance<br><br>Technical skills:<br><br>-Strong proficiency in Python<br><br>-Strong experience in working with databases (PostgreSQL) and SQL language<br><br>-Experience in Pyramid is a plus<br><br>-Experience in implementing Reporting and Analytics is a plus<br><br>-Ability to understand business requirements and translate them into technical requirements<br><br>-Experience in speech analysis is a plus<br><br>Non-technical skills:<br><br>-Team player<br><br>-Excellent time-management skills<br><br>-Great interpersonal and communication skills",14:11 15.02.2024,194,64
Python Team Lead,Odore,"We are seeking an experienced Python Team Lead to join our growing team. As a Team Lead, you will play a pivotal role in overseeing and driving the success of our Python development team. The successful candidate will have a strong background in Python development, leadership skills, and a passion for delivering high-quality software solutions.<br><br>Key Responsibilities:<br><br>Lead and mentor a team of Python developers in the design, development, and delivery of software solutions.<br>Collaborate with cross-functional teams, including product managers, designers, and other engineering teams, to ensure project success.<br>Provide technical guidance and expertise to team members, fostering a culture of continuous learning and improvement.<br>Architect, design, and implement robust and scalable solutions using the project tech stack: Python, Mongo DB, FAST API framework, PostgreSQL, SqlAlchemy, Unit tests, and AWS.<br>Ensure code quality, performance, and adherence to coding standards through code reviews and continuous integration practices.<br>Collaborate with stakeholders to gather requirements and translate them into technical specifications.<br>Troubleshoot and resolve complex technical issues, ensuring the team meets project deadlines and goals.<br><br>Requirements:<br><br>Proven experience as a Python Developer with a strong understanding of Python best practices.<br>Previous experience in a leadership or mentoring role, guiding and developing junior developers.<br>Solid understanding of the project tech stack, including Python, Mongo DB, FAST API framework, PostgreSQL, SqlAlchemy, Unit tests, and AWS.<br>Experience in designing and implementing scalable and maintainable software solutions.<br>Strong problem-solving skills and the ability to thrive in a fast-paced, collaborative environment.<br>Excellent communication skills, with the ability to convey technical concepts to both technical and non-technical stakeholders.<br><br>Nice to Have:<br><br>Certification in Python or relevant technologies.<br>Experience with Martech.",14:01 15.02.2024,123,2
Python backend developer,gubadoo,"This is a remote position.<br><br>Gubadoo is an exciting startup seeking a skilled Python backend developer with strong communication abilities to join one of our teams for a long-term collaboration.<br><br><b>Key Responsibilities:</b><br>• Develop scraping and parsing solutions;<br>• Develop API, ETL pipelines, other data integration services ;<br>• Collaborate with Project Managers to solve customer problems;<br>• Optimize applications regarding project requirements;<br>• Collaborate with team members, take part in meetings, brainstorms.<br><br><b>Qualifications:</b><br>• 1 year+ experience with Python;<br>• Experience with web scrapping and HTML parsing;<br>• Experience with SQL (PostgreSQL);<br>• Experience with libraries/ frameworks: Django, DRF;<br><br><b>Optional skills (as a plus):</b><br>• Experience with Linux, AWS, GCP;<br>• Experience with JS, React;<br>• Experience with NoSQL and in-memory DB;<br>• Experience with Pandas.<br>• Experience with Flask, Flask-RESTful<br><br><b>Benefits:</b><br>•Competitive compensation package.<br>•Flexible remote work environment.<br>•Opportunity to work on innovative projects.<br>•Collaborative and inclusive team culture.<br><br>If you are a self-driven and experienced backend developer, we encourage you to apply. Please send your CV, portfolio and financial expectations.<br><br>We look forward to reviewing your application and potentially having you join our team of backend developer.",15:51 15.02.2024,927,392
Trainee/Junior Python Developer,Cloudy Construction,"Hello,<br><br>We are search for Python Developer for low rate salary to automate routine tasks. This is good start point for candidate without experience.<br>You need to write simple code, bug fix, or so.<br><br><br><br>Pleas don't send uncompleted task.<br><br>Next steps: HR Interview - Offer.<br><br>This job position is match to fit for candidates who want work more for experience against money.<br>We will select one candidate for best quality/salary.",15:48 15.02.2024,1703,311
Full Stack Python Developer,MaybeWorks🇺🇦,"<b>MaybeWorks</b> - амбіційна IT компанія, яка вже більше ніж 10 років успішно працює над створенням та підтримкою складних веб-додатків для клієнтів з усього світу. <br>Якщо ви володієте впевненими теоретичними та практичними знаннями і бажаєте розвиватися - ми пропонуємо вам чудові умови для професійного росту на позиції <b>Full Stack Python Developer</b>. <br><br><b>Що ми очікуємо від потенційного кандидата:</b><br>- комерційний досвід з Python 3 — від 1го року<br>- Досвід з MySQL/PostgreSQL/MongoDB або з іншими базами даних;<br>- досвід роботи з Django;<br>- Знання React.js та/або Angular 2+, практичний досвід роботи в комерційних проектах від 6 місяців;<br>- Досвід роботи з хостингом репозиторіїв Git (GitHub, GitLab, Bitbucket);<br>- Знання англійської мови на рівні Upper-Intermediate та вище.<br><br><b>Буде перевагою:</b><br>- Базові знання Linux;<br>- Досвід у DevOps;<br>- Досвід роботи з Docker та системами оркестрації;<br>- Знання AWS;<br>- Досвід роботи з NgRx та Redux;<br>- Досвід у написанні модульних тестів.<br><br><b>Основні задачі:</b><br>- Проектувати, розробляти та підтримувати бекенд-архітектуру за допомогою Python;<br>- Вдосконалювати існуючі функції та пропонувати покращення;<br>- Використання найкращих практик для розробки та тестування програмного забезпечення, дотримання технічних стандартів та вимог до якості коду що прийняті на проекті;<br>- Звіти про стан та прогрес проекту відповідно до вимог компанії.<br><br><b>Що ми гарантуємо нашій команді:</b><br>- Швидкий професійний ріст: ми завжди сприяємо постійному розвитку наших співробітників та практикуємо ротацію між проектами, щоб розробник мав змогу у повному обсязі вивчити наш технологічний стек;<br>- Гідну та стабільну оплату праці;<br>- Гнучкий графік роботи, повний робочий день, оплачувані відпустки та лікарняні;<br>- Компенсація витрат на вивчення англійської мови;<br>- Молодий та дружній колектив, в якому розвинена культура взаємопідтримки;<br>- Дистанційна робота з будь-якого куточка світу.",15:47 15.02.2024,1054,188
Backend developer Python for an education app,Bison Tech Solutions,"Vacancy: Backend Developer (Python)<br><br>We are in search of a skilled Backend Developer to join our team and contribute to the development of our innovative online education platform. If you are passionate about creating impactful solutions and possess the following skills, we would love to hear from you!<br><br>Requirements:<br>Proficient knowledge of Python.<br>Understanding of object-oriented programming (OOP) and architectural patterns.<br>Hands-on experience with Django, asyncio, fastapi, and channels.<br>Familiarity with version control systems such as Git.<br>Experience with containerization using Docker.<br><br>Bison Tech Solutions combines innovative solutions, digital product experts and world-leading technologies in order to turn the most ambitious ideas into a successful business. Our innovative product: educational platform Sail.ai",15:45 15.02.2024,138,37
"Full-stack Developer (Python, Node.js, React)",Merge Development,"We are looking for a Senior <b>Full-stack Engineer (Python, Node.js, React)</b> who will join a team of a Pypestream product. <br><br>You would be embedded in the Pypestream Pro team and be working directly with the production team on their existing product offerings. Updating Python code, improving it, and adding features and functionality to the frontend (React) and some middleware (NodeJS).<br><br>This platform will be a combination of low code / no code tools that will be developed by our engineering team and be used by our customers to create customer service automation solutions which can be delivered to their customers. We are looking for a “difference maker” Senior Engineer who’s proficient with front-end and backend technologies and is truly a full-stack developer that enjoy’s creating amazing front-end technology but can write optimized and performant back-end code — someone who loves to be part of the end-to-end development process. As a Senior Engineer, you’ll translate product requirements into true product technology solutions that will ship to our customers in a timely manner and committed to both quality and security. You’ll work directly with our Product team to ensure that you have an understanding of the requirements and will coach, mentor and lead your teammates through to successful launches of releases and follow and help develop engineering ""best practice“’. As a Senior Engineer you will be a difference maker on the team and lead by example with a “Give a damn” mentality, motivated, and great with figuring out solutions to a given problem.<br><br><b>What we expect</b><br>- <b>6+ years of demonstrable experience</b><br>- <b>Strong proficiency in Python</b><br>- Strong proficiency in GraphQL<br>- Proficiency in Node.js, React.js<br>- Proficiency with PostgreSQL or another SQL technology<br>- Experience with common front-end tooling and technologies: Webpack, NPM, NPM Publishing, Cypress, ViTest, Sass (SCSS), Pub/Sub, Websockets, JSON Schema, Isomorphic rendering, Monorepo experience, Prettier, Eslint, Stylelint, etc<br>- Self-starter with good communication skills and at a senior level who can take on complicated tasks.<br>- Experience with code versioning tools with Git, Github Actions<br>- Experience State Management, ideally x-state<br>- Strong understanding of Web Components (i.e. Lit Element)<br><br><b>Nice to have</b><br>- Docker, Container experience<br>- Worked with automation tools such as UIPath, Blue Prisma or n8n<br>- Chat bot experience<br>- Developing low code / no code tooling<br>- Design Systems<br><br><b>What you’ll be doing?</b><br>- Work as a full-stack developer on existing offering and be working with Python, Node.js and React.<br>- Updating Python code, improving it, but also adding features and functionality to the frontend (React) and also some middleware (NodeJS).<br>- Lead small to mid-sized engineering projects but also be a highly productive individual contributor.<br>- Write modern, high quality frontend / full-stack glue code connecting backend and frontend systems; “back of the frontend” application / business logic.<br>- Shared responsibility in code reviews, tag-team on solving problems.<br>- Contribute in improving automated testing coverage (unit, E2E, VRT).<br>- Writing modern, high quality frontend / full-stack glue code connecting backend and frontend systems; “back of the frontend” application / business logic<br>- Conduct Cross-team collaboration (other frontend / full-stack engineers, design, and product)<br>- Provide feedback on design (Figma) comps, product requirement docs; break down and define the work (for self + delegation)<br>- Help your team write better, more maintainable code.<br><br><b>Hiring Process</b><br>Pre-screen interview with a recruiter;<br>Technical interview with CTO;<br>Final interview with the client.",15:42 15.02.2024,259,111
Middle+ FullStack (Vue/Python/Go),3asoft,"The project is a telemedicine and primary care application.<br>It's a web application project (mobile app is already done).<br>Important: the customers are from Japan.<br><br>Requirements:<br>- 2+ years of experience with Python/Vue.js (nuxt)<br>- hands-on experience with GO<br>- experience with GCP and Azure<br>- experience with firebase<br>- at least upper-intermediate spoken English<br><br>Would be a plus:<br>- experience in medtech domain<br>- FHIR db (medical specialized endpoint) experience<br>- flutter experience<br><br>Part of the planned features:<br>- Booking system<br>- treatment prescribing functionality<br>- WebRTC video calls<br><br>Cooperation conditions: starting from part-time (20 hours a week) for 2-4 weeks, then switch to full-time for long term. <br>The team size is 6 devs (almost all are full-stacks)<br><br>Being a part of 3asoft means having the following:<br>- High level of flexibility and freedom<br>- P2P relationships with worldwide customers<br>- Competitive compensation paid in USD<br>- Fully remote working",15:39 15.02.2024,334,92
Middle Python Developer (Django Framework),NeoFin,"<b>Вимоги</b><br>- Комерційний Досвід програмування з Python від 12 місяців.<br>- Розуміння виведеня частин коду в Open Source <br>- Знання Django <br>- PostgreSQL<br>- Django Rest API<br>- Досвід створення клієнт-серверних програм, SOAP/RESTful-сервісів.<br>- Hозуміти як працює клієнт-серверна архітектура<br>- nginx, traefik<br>- розуміти як налаштовувати TLS/SSL<br>- bash<br>- docker<br>- розбиратись на базовому+ рівні в AWS , Azure, DO, GCP.<br><br><b>Буде плюсом</b><br>- Досвід роботи з HTML/CSS, JavaScript.<br>- Досвід роботи із системами управління версіями (VCS): Git, Mercurial.<br>- JIra/Confluence <br><b>Примітка</b><br>- Не розглядаємо кандидатів, які мають досвід виключно як фрілансери.<br>- Досвід комерційної розробки в компанії є обов'язковим.<br><br><b>Готові запропонувати</b><br>Роботу над складними та цікавими завданнями у професійному та дружньому колективі.<br>Участь у закордонних конференціях, просування у спільноті Python.<br>Унікальні можливості для професійного та кар'єрного зростання.<br>Гідну заробітну плату, розмір обговоримо на співбесіді.<br>Гнучкий графік роботи.<br>Віддалену роботу або комфортний офіс з душем та невеликим спортзалом у кроковій доступності від м. Позняки).<br>Медичне страхування.<br>Навчання англійської мови в офісі, чай-кава-печиво та інші плюшки",15:38 15.02.2024,788,264
Bootcamp for AI Developers (Python),CGS-team,"CGS-team launches AI-focused internship in Machine Learning and Deep Learning. We offer a unique gateway into the dynamic world of artificial intelligence.<br><br><b>Requirements:</b><br><br>• Strong background in Linear Algebra and Probability Theory<br>• Proficiency in Python<br>• Understanding of pandas basics<br>• Experience with matplotlib<br>• English language skills at B1-B2 level<br><br><b>Will be a plus:</b><br><br>• Fundamental knowledge of Machine Learning concepts, including Supervised and Unsupervised Learning algorithms<br><br><b>Learning Roadmap:</b><br><br>• Exploratory Data Analysis and Feature Engineering<br>• Regression Techniques<br>• Classification Approaches<br>• Introduction to Clustering<br>• Time Series Analysis<br>• Deep Learning Fundamentals<br>• Computer Vision Essentials<br><br><b>Internship Benefits:</b><br><br>• In-depth AI camp to solidify your ML and DL knowledge<br>• Lectures and training from experienced AI professionals<br>• A tailored, exclusive learning program developed by CGS-team<br>• Regular code reviews and mentorship<br>• Insight into Best Practices in modern AI development<br><br><br>Successful completion of the program guarantees a work contract and a competitive salary, offering a fantastic opportunity to kickstart your career in AI with CGS-team 🚀",13:56 15.02.2024,789,192
Senior Python Developer,SimilarDev,"The company is revolutionizing the financial industry, offering a comprehensive consumer finance compliance platform that covers the entire compliance cycle. We empower financial institutions to ensure consumer protection and regulatory compliance while fostering business growth. Recently honored with the 'Most Promising Fintech Startup' award by CitiBank and Visa, the company serves clients on three continents.<br><br>We're on the lookout for talented Senior Python Developer with expertise in AWS. If you're passionate about creating cutting-edge solutions and thrive in a remote work environment, we want to hear from you! 🐍💻<br><br><b>Key Requirements:</b><br>🐍 Strong proficiency in Python development, 5 + years <br>☁️ Experience with AWS (Amazon Web Services)<br>🌐 Excellent English language and communication skills",13:51 15.02.2024,36,8
Middle/ Senior Full stack developer (Python / Vue.Js),UnionFlame/Lucky Soft,"Освітній  start up портал  шукає middle strong/ senior Full stack developer (Python / Vue.Js)<br>Єдиний розробник на  проекті. Потрібно виправити зауваження до проекту та потім супроводжувати його.<br><br>Required skills:<br>— 3+ years of commercial Python experience;<br>— 3+ years of commercial experience working with Django and the Django REST Framework,Vue.Js.<br>— Experience with Celery or any other asynchronous task queue;<br>— Experience with SQL databases (PostgreSQL, etc.);<br>— Experience with Docker and docker-compose;<br><br><br>Англійська на рівні читання документації<br><br>❗Є технічне завдання ❗",13:44 15.02.2024,206,39
Middle python Django developer,Feodal,"Ми аграрна IT компанія що створює продукти для фермерів та територіальних громад в сфері управління даними агропідприємств. Ми є лідерами на ринку в сфері надання послуг управління земельним банком серед фермерів і територіальних громад. Наразі нашою системою користується третина всіх територіальних громад в Україні та підключено більше 1000 фермерів по всій Україні.<br><br>Компанія також має ряд благодійних проєктів такі як military.feodal.online — сервіс для подачі заявок на розмінування та Farmerhood — платформа на який американський фермер може задонатити українському.<br><br>Технічні вимоги:<br><br>  - Знання мови програмування Python, Django та DRF, досвід роботи протягом 2+ років;<br>  - Досвід роботи з базами даних PostgreSQL, досвід з Django ORM<br>  - Знання та розуміння індексних механізмів та їх впливу на продуктивність SQL-запитів.<br>  - Розуміння того, як працюють транзакції та знання методів забезпечення цілісності даних у SQL.<br>  - Досвід написання тестів за допомогою pytest<br>  - Досвід роботи із контролем версій (git, github)<br>  - Розуміння роботи черг, досвід з redis<br><br>Буде плюсом:<br>  - Досвід роботи з MongoDB<br>  - Вміння користуватись сервісами AWS<br>  - Досвід з FastAPI / Sanic / Asyncio як альтернативам DRF<br>  - Знання принципів роботи Docker, docker compose, docker swarm<br><br>Сучасний офіс в центрі Львова<br>Можливість працювати дистанційно за потребою<br>Весела команда, і приємна робоча атмосфера<br>Корпоративи та бонуси<br>постійне навчання і удосконалення<br>Можливість кар'єрного зростання<br>Ми шукаємо людину, яка готова рости і розвиватись разом з нами.",13:38 15.02.2024,268,73
Senior Backend Developer (Python) for AI/Web3 Project,,"Join Our AI and Web3 Adventure! At AIgentX, we've evolved from empowering traditional businesses with advanced AI to exploring the exciting realm of Web3. Our team is a vibrant group of young, fun-loving professionals dedicated to shaping a future where AI agents really help to solve people needs.<br><br><b>Your Role:</b><br>🤖 Develop cutting-edge AI agents. <br>🔗 Integrate with blockchain platforms and Web3. <br>💡 Develop robust fault-tolerant AI Builder architecture.<br>🌟 Innovate with OpenAI and Langchain technologies. <br><br><b>We're Looking For:</b><br>🏃‍♂️ Proactive individuals who clarify tasks and deliver swiftly. <br>🐍 Strong Python skills, with experience in Web3, OpenAI, and/or Langchain. <br>🛠 Familiarity with Git, Docker. <br><br><b>What We Offer:</b><br>💰 Salary 4000-6000 USD + bonuses for high-value contributions<br>⏰ Flexible schedule in a dynamic, innovative environment. <br>🌍 Be part of an international team from Ukraine, Canada, Europe. <br>🏖 Unique opportunity for a Bali villa relocation during intensive project phases. <br><br><b>How to Apply?</b><br>1. Please, include in your short cover letter (welcome-message) here:<br>- What is your Python proficiency level?<br>- Your age and city of residence.<br>- Your Skills.<br>- Whether you have worked with Web3/AI<br>- Portfolio of your work.<br><br>2. Attach your CV<br><br><b>Application process:</b><br>1. Send your CV<br>2. Test Assignment<br>3. Final Call with CEO",13:24 15.02.2024,186,60
Middle/Senior Python Developer,Barwenock,"Hi there, <br><br>Are you ready to be at the forefront of digital transformation and drive real change in the IT world? If so, we have a compelling opportunity for you!<br><br>Barwenock is a US-based award-winning software engineering company with experience in developing complex solutions for companies worldwide. Currently, we’re looking for the Python Developer (at least one Python web framework (Django, Flask, etc.)<br> specialist for the upcoming project!<br><br>Our candidate: <br>A minimum of 3 years of hands-on experience in Python development.<br>Proficiency in at least one Python web framework (Django, Flask, etc.).<br>Strong understanding of Python programming language and its libraries.<br>Experience with front-end technologies (HTML, CSS, JavaScript) to collaborate effectively with UI/UX designers.<br>Familiarity with version control systems, preferably Git.<br>Solid understanding of database systems such as PostgreSQL or MySQL.<br>Ability to write clean, efficient, and well-documented code.<br>Knowledge of RESTful API design and integration.<br>Problem-solving mindset and attention to detail.<br>Excellent verbal and written communication skills in English (B2 level).<br>Preferred Qualifications:<br><br>Experience with additional Python frameworks or libraries.<br>Knowledge of asynchronous programming in Python (asyncio).<br>Familiarity with containerization tools such as Docker.<br>Understanding of software development best practices and design patterns.<br>Familiarity with front-end frameworks like React or Vue.js.<br>Strong problem-solving and debugging skills.<br>Experience with cloud platforms like AWS or Azure.<br>Responsibilities:<br><br>Design, develop, and maintain Python-based web applications.<br>Utilize Python web frameworks to build scalable and efficient solutions.<br>Collaborate with cross-functional teams, including UI/UX designers and frontend developers.<br>Implement and integrate RESTful APIs for seamless data communication.<br>Ensure code quality through best practices, testing, and code reviews.<br>Troubleshoot and resolve issues, optimizing application performance.<br>Stay updated on industry trends and contribute innovative ideas to the development process.<br>Participate in Agile/Scrum development methodologies.<br>The role is designed for individuals with existing commitments, requiring a minimum of 30 hours weekly and offering flexibility to accommodate current work schedules. <br><br>We invite you to apply at Barwenock with an opportunity to join an international long-term project and much more.",15:37 15.02.2024,391,174
Senior Full Stack (Python/JS) Developer with Solidity,Fluvius,"<b>Required Skills:</b><br><br>- 4+ years of experience with Python Django (or Flask);<br>- 2+ years of experience with React.js (or Angular);<br>- Proven Solidity development experience;<br>- Excellent understanding of blockchain technology and decentralized applications;<br>- Experience with smart contract and telegram bots development on blockchain platforms.<br>- (nice to have) Experience with additional blockchain technologies and languages.<br>- (nice to have) Bachelor's degree in computer science, engineering, or related field preferred;<br>- Experience with cloud services (AWS, Azure) and containerization technologies (Docker, Kubernetes)<br>- Excellent problem-solving skills and ability to work under tight deadlines.<br>- Good communication skills and proficiency in English.<br><br><b>Responsibilities:</b><br><br>- Develop and maintain web applications using JavaScript and Python.<br>- Design and implement smart contracts using Solidity.<br>- Collaborate with teams to define, design, and ship new features.<br>- Ensure application performance, quality, and responsiveness.<br>- Identify and correct bottlenecks, fix bugs.<br>- Maintain code quality, organization, and automatization.<br><br><b>Project description:</b><br>A taxation token that aridops eth percentage every 2 minutes and which also built in top of the ERC 404 standard, meaning it could be an nft or a token either ways holders gets eth airdrops<br><br><b>What we offer:</b><br><br>- Healthy workplace environment<br>- Strong and friendly development team<br>- Competitive reward<br>- Compensation for education<br>- Flexible schedule<br>- 10 paid vacation days, 4 paid days-off",15:36 15.02.2024,33,3
Python developer,Chatos.co,"We are outsourcing developers specializing in projects of varying complexity. We are passionate about coding, quality, innovative solutions, tackling new challenges, and pushing the boundaries of our knowledge and our client's business. We are looking for individuals who share our values to join our team.<br><br>Experience:<br>• 1-2 years of commercial experience on the Python 3.x stack<br>• knowledge of basic deep learning libraries such as PyTorch, Keras, Tensorflow;<br>• experience with libraries such as Pandas, NumPy, (one of the web frameworks Flask, FastAPI, Django(Oscar));<br>• experience with NLP/NLU, Image/audio processing;<br>• knowledge of basic ML methods (SVM, Random trees, Naive bayes, etc.);<br>• good skills in debugging, finding, and fixing problems;<br>• experience with Git;<br>• good knowledge of English at the level of reading technical documentation;<br>• the ability to quickly learn new skills;<br>• teamwork.<br><br>Would be a big plus:<br>• understanding the fundamentals and features of neural network architectures such as CNN, RMM, Transformer, LSTM;<br>• experience with Yolo, EfficientDet, Mask R-CNN, BERT, Spacy, Whisper, E-commerce frameworks.<br><br>What to do on the project:<br>• Develop your own ML models;<br>• Develop  E-commerce projects;<br>• Adaptation and support ready-made models;<br>• Development and support of related systems that work with models (work with queues, REST API, gRPC, GRAPHQL).",16:50 19.02.2024,813,147
